l,train_index,test_index,||W_in||,||b_in||,||W||,good_rows_W_in,linear_rows_W_in,extreme_rows_W_in,tau_f_rmse,tau_f_se,rmse,se,0_rows_W_in,0_cols_W,avg_bad_features,avg_abs_col_sum_W,tau_f_se_train
90.0,30102.0,3200.0,0.0001864730303910278,0.014465703776019844,8.479781555791064,0.0,1.0,0.0,1.1648,1.0010000000000001,1.0181000789948327,1.0365277708492844,1.0,0.0234375,0.0,0.29897756855087654,1.5834000000000001
91.0,67477.0,4465.0,0.00015346277330526354,0.014363750403176957,11.922425791058203,0.0,1.0,0.0,1.4196,1.2558,0.7683025635505712,0.5902888291583792,1.0,0.0390625,0.0,0.3852864404925318,4.5864
92.0,131341.0,3610.0,0.00016296505853050626,0.015112270347446341,8.594229818995878,0.0,1.0,0.0,3.6582000000000003,2.8574,0.5431778970772354,0.2950422278732475,1.0,0.01171875,0.0,0.3175856087807345,2.548
93.0,125444.0,2971.0,0.00016267835702490617,0.014465656519975447,9.300659169951883,0.0,1.0,0.0,2.7846,0.728,0.853032064291813,0.7276637027099528,1.0,0.03515625,0.0,0.31810886122495996,1.0738
94.0,107939.0,3951.0,0.00016566483942382287,0.013408716765853004,8.86690738797316,0.0,1.0,0.0,5.4236,3.2942,0.7497159882483857,0.5620740630352535,1.0,0.01953125,0.0,0.3369254007186502,1.6016000000000001
95.0,7438.0,799.0,0.00014840776819147718,0.014847451742124646,11.290041511198451,0.0,1.0,0.0,3.6946000000000003,2.2386,0.6698081519300564,0.44864296039195734,1.0,0.01953125,0.0,0.34474353034851557,0.728
96.0,72383.0,1248.0,0.0001887352771748656,0.014551583144954637,7.164515897743703,0.0,1.0,0.0,2.5298000000000003,1.729,0.9700162842461132,0.9409315917026366,1.0,0.0234375,0.0,0.2697360690320696,1.4378
97.0,123230.0,1004.0,0.0001558838294847001,0.014956808027157228,9.99308286474454,0.0,1.0,0.0,1.8382,1.6926,0.9212155449173359,0.8486380801973442,1.0,0.03515625,0.0,0.33542228385552125,1.6380000000000001
98.0,155.0,2833.0,0.00017417790247441768,0.014005401664302716,7.75805337610545,0.0,1.0,0.0,1.7654,1.6198000000000001,0.8169612884934102,0.6674257468968133,1.0,0.01953125,0.0,0.2944524936596902,0.6916
99.0,70081.0,3474.0,0.000158377559288084,0.01514230550635974,11.118510046801395,0.0,1.0,0.0,3.3488,1.9656,0.7509825255394423,0.5639747536655993,1.0,0.03125,0.0,0.4099560118673191,0.40040000000000003
100.0,64553.0,2846.0,0.0001540868122195751,0.014534079169620377,11.596295743989648,0.0,1.0,0.0,1.2194,1.0010000000000001,0.716282307558782,0.5130603441217331,1.0,0.0078125,0.0,0.4117409419777439,1.1648
101.0,133294.0,565.0,0.00016178199310734896,0.014772170060325584,9.520899115197784,0.0,1.0,0.0,1.092,0.6916,0.8172768507309356,0.6679414507406765,1.0,0.0390625,0.0,0.3231176535868059,0.8372
102.0,112334.0,2603.0,0.0001745864550897586,0.014430597791212196,8.269725139104589,0.0,1.0,0.0,3.9494000000000002,1.274,0.718068255850351,0.5156220200599654,1.0,0.01953125,0.0,0.32544226943717214,2.4934000000000003
103.0,90567.0,2862.0,0.00016136441831139954,0.014480992471718383,12.825541501418067,0.0,1.0,0.0,0.8918,0.7644000000000001,0.9322212612681274,0.869036479960339,1.0,0.01953125,0.0,0.4638203461958037,0.5824
